poset26/10/poset26-10a, 71442927261641000, 97.49546
poset26/10/poset26-10b, 2656164129178664, 22.874213
poset26/10/poset26-10c, 400390237438048, 71.091256
poset26/10/poset26-10d, 915783116676764, 28.350357
poset26/10/poset26-10e, 1634671262018028, 22.458955
poset26/10/poset26-10f, 7789705996698080, 86.360904
poset26/10/poset26-10g, 245092632348362, 19.984794
poset26/10/poset26-10h, 365756634051168, 63.330119
poset26/10/poset26-10i, 959068157992468, 29.548835
poset26/10/poset26-10j, 1307633079593794, 30.787061
